Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
02-Jan-19,118.585,1.424501425,,3.8589,1.366,1.36,694.77,6.8557,3249.75,22.594,6.5516,0.877423883,69.6089,3.746,,1118.1,0.30315,4.139,,19.5878,,8.696,0.3845,3.369,52.563,3.7619,3.64,,3.75,1.366,14.52155,8.9272,,32.351,6.7805,3.6725,0.78985822,1,32.425
03-Jan-19,118.7008,1.439884809,10.75268817,3.7677,1.366,1.3501,697.09,6.8744,3250.01,22.634,6.5805,0.881212548,70.3627,3.742,,1119,0.30315,4.1425,34.241,19.6073,1.510574018,8.734,0.3845,3.368,52.571,3.7827,3.64,,3.75,1.366,14.52315,9.0071,0.9895,32.205,6.7707,3.6725,0.796431985,1,32.443
04-Jan-19,118.401,1.423690205,10.62699256,3.7621,1.362,1.341,697.64,6.8647,3241.2,22.494,6.5491,0.876962203,69.8653,3.72,107.63,1127.5,0.30315,4.1395,34.2438,19.4902,1.496557917,8.6511,0.3845,,52.625,3.772,3.64,,3.75,1.362,14.11635,8.9893,0.9871,32.052,6.7656,3.6725,0.789515238,1,32.481
07-Jan-19,118.2328,1.40193467,10.5374078,3.7056,1.3571,1.3313,688.42,6.8498,3208.56,22.347,6.5247,0.873743993,69.4814,3.694,108.49,1125.2,0.30305,4.1105,34.2077,19.3208,1.485222041,8.5643,0.3845,3.349,52.56,3.7575,3.64,,3.75,1.3571,13.88945,8.9394,0.98185,31.962,6.7399,3.6725,0.784067743,1,32.493
08-Jan-19,118.2643,1.402524544,10.58201058,3.7202,1.3582,1.3293,679.69,6.86,3208.56,22.416,6.5265,0.874125874,70.0221,3.699,108.74,1118,0.30305,4.113,34.178,19.3479,1.482359917,8.5446,0.3845,3.347,52.358,3.7559,3.64,,3.75,1.3582,13.9891,8.9037,0.97945,32.046,6.736,3.6725,0.782748229,1,32.52
09-Jan-19,117.9961,1.397819402,10.55966209,3.6925,1.3568,1.3221,680.1,6.8353,3164.75,22.376,6.5178,0.872981231,70.4418,3.682,108.9,1121.7,0.30305,4.114,34.1493,19.2456,1.483019428,8.5262,0.3845,3.333,52.454,3.7509,3.64,67.0795,3.75,1.3568,13.99485,8.9063,0.9808,32.026,6.7377,3.6725,0.785360873,1,32.583
10-Jan-19,117.9067,1.391788448,10.50420168,3.6863,1.3507,1.3234,678.09,6.7899,3128.07,22.221,6.472,0.866926745,70.5135,3.664,107.93,1121.6,0.30265,4.0955,34.0984,19.1714,1.472537182,8.4519,0.3845,3.341,52.376,3.736,3.64,66.8605,3.75,1.3507,13.87895,8.884,0.977,31.917,6.755,3.6725,0.785052599,1,32.743
11-Jan-19,117.8751,1.385041551,10.49317943,3.7135,1.3516,,677.58,6.7468,3136.49,22.199,6.4721,0.867077083,70.4737,3.673,108.4,1118.9,0.30265,4.096,34.0749,19.1236,1.473405039,8.4608,0.3845,3.339,52.171,3.7289,3.64,66.9167,3.75,1.3516,13.8038,8.8685,0.9832,31.915,6.7544,3.6725,0.779727096,1,32.777
14-Jan-19,118.1591,1.391982183,10.51524711,3.7255,1.3535,1.3269,675.15,6.7644,3151.49,22.29,6.509,0.872067672,70.8244,3.657,,1117.6,0.30295,4.0975,34.0687,19.0064,1.464986815,8.5348,0.3845,3.341,52.235,3.7458,3.64,67.192,3.75,1.3535,13.8861,8.9347,0.9816,31.957,6.7658,3.6725,0.776699029,1,32.657
15-Jan-19,118.2643,1.386577926,10.50420168,3.7043,1.3525,1.3266,674.95,6.753,3143.22,22.382,6.5334,0.87535014,71.0298,3.67,108.36,1121.4,0.30295,4.0975,34.103,19.0457,1.463271876,8.5447,0.3845,3.336,52.197,3.7542,3.64,67.082,3.75,1.3525,13.8183,8.949,0.9863,31.874,6.7776,3.6725,0.777514287,1,32.655
16-Jan-19,118.4746,1.389660923,10.47120419,3.7191,1.355,1.3248,673.76,6.7615,3137.66,22.446,6.5539,0.878040214,71.1847,3.678,108.46,1120.1,0.3031,4.1125,34.1311,18.9908,1.465630954,8.5484,0.3845,3.33,52.128,3.7619,3.64,66.7617,3.75,1.355,13.69925,8.9601,0.99015,31.804,6.7745,3.6725,0.778270683,1,32.668
17-Jan-19,118.4021,1.398210291,10.49317943,3.7585,1.356,1.3294,672.73,6.767,3124.96,22.407,6.5505,0.877500878,71.3418,3.688,109.02,1122,0.3032,4.109,34.1252,19.063,1.47579693,8.5627,0.3845,3.331,52.166,3.7615,3.64,66.4438,3.75,1.356,13.7383,9.0356,0.99225,31.665,6.7791,3.6725,0.775314002,1,32.655
18-Jan-19,118.3863,1.390240512,10.49317943,3.748,1.3558,1.326,671.37,6.7725,3140.19,22.432,6.547,0.877039116,71.1418,3.692,109.35,1121.4,0.3032,4.116,34.1278,19.0844,1.479071143,8.5264,0.3845,3.316,52.288,3.7694,3.64,66.3309,3.75,1.3558,13.78165,9.0034,0.99355,31.684,6.7622,3.6725,0.773215805,1,32.606
22-Jan-19,118.6439,1.401148942,10.5374078,3.7609,1.3599,1.334,672.42,6.8064,3120.56,22.559,6.5764,0.880746873,71.3761,3.69,109.63,1126.5,0.3033,4.128,34.1476,19.1297,1.486988848,8.5986,0.3845,,52.725,3.7727,3.64,66.5499,3.75,1.3599,13.8787,9.0283,0.9963,31.811,6.7443,3.6725,0.775434243,1,32.599
23-Jan-19,118.5388,1.401148942,10.5374078,3.7988,1.3597,1.3348,672.26,6.7887,3136.59,22.605,6.5688,0.879739597,71.2039,3.683,109.64,1130.2,0.3033,4.1335,34.1445,19.0771,1.477978126,8.583,0.3845,3.336,52.887,3.7747,3.64,66.3318,3.75,1.3597,13.8576,9.0257,0.99755,31.734,6.7552,3.6725,0.767224183,1,32.599
