Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Oct-19,120.6461,1.490757305,,4.1734,1.3839,1.3244,728.21,,3477.45,23.618,6.8503,0.91759956,70.9109,,108.17,1199.2,0.30425,4.192,36.4654,19.7792,1.596933887,9.1267,0.3845,3.39,51.795,4.0147,3.64,65.067,3.75,1.3839,15.31905,9.89,1.0013,30.627,6.7328,3.6725,0.812809884,1,37.016
02-Oct-19,120.4721,1.489425082,11.13585746,4.154,1.3844,1.3294,729.38,,3491.29,23.561,6.8343,0.915331808,,3.485,107.84,1198.2,0.30405,4.19,36.4973,19.7985,1.598976655,9.1469,0.3845,3.386,51.861,4.0152,3.64,65.4399,3.75,1.3844,15.2583,9.8869,0.99925,30.641,6.7139,3.6725,0.816159967,1,37.184
03-Oct-19,120.3667,1.488759863,11.07419712,4.1006,1.3826,1.333,727.8,,3497.34,23.506,6.8173,0.913158616,71.1163,3.493,107.14,,0.3039,4.189,36.5115,19.7368,1.595405233,9.1467,0.3845,3.376,51.92,3.9652,3.64,65.1312,3.75,1.3826,15.1717,9.8964,1.0006,30.588,6.7284,3.6725,0.813504169,1,37.176
04-Oct-19,120.2613,1.4803849,11.04972376,4.0604,1.3794,,719.53,,3467.6,23.444,6.8008,0.910829766,70.8703,3.481,106.82,1203.7,,4.184,36.4783,19.5255,1.582779361,9.1006,0.3845,,51.95,3.9469,3.64,65.03,3.75,1.3794,15.11995,9.8618,0.9933,30.474,6.7354,3.6725,0.810635538,1,
07-Oct-19,120.2455,,11.01321586,4.0682,1.3812,1.3306,715.53,,3430.28,23.451,6.7933,0.90966979,70.9763,3.493,106.8,1197,0.3038,4.193,36.5071,19.5522,1.582278481,9.132,0.3845,,51.708,3.9498,3.64,64.8259,3.75,1.3812,15.1204,9.8618,0.99435,30.454,,3.6725,0.811030008,1,37.219
08-Oct-19,120.2665,1.481920569,11.03752759,,1.3805,1.3323,,7.1264,,23.488,6.7986,0.910249408,,,107.39,1196.5,0.3038,4.191,36.5114,19.584,1.590077914,9.1435,0.3845,,51.862,3.9405,3.64,64.8672,3.75,1.3805,15.28205,9.8977,0.99165,30.457,6.757,3.6725,0.81846456,1,37.225
09-Oct-19,120.2983,1.48456057,11.0864745,4.0948,1.3819,1.3324,722.28,7.1379,3452.57,23.518,6.8018,0.910663874,71.1121,,107.09,,0.3039,4.1978,36.5151,19.5689,1.585288523,9.1547,0.3845,3.377,51.791,3.9382,3.64,65.0976,3.75,1.3819,15.14655,9.9336,0.99425,30.346,6.7571,3.6725,0.818062827,1,37.211
10-Oct-19,120.1455,1.482359917,11.03752759,4.1139,1.3781,1.3294,724.27,7.1247,3454.56,23.476,6.771,0.906618314,71.0516,3.504,107.33,1194.7,0.3039,4.193,36.525,19.4764,1.590077914,9.1147,0.3845,3.358,51.828,3.9226,3.64,64.7416,3.75,1.3781,15.1098,9.8999,0.99265,30.322,6.7623,3.6725,0.816593173,1,37.181
11-Oct-19,120.1295,1.475579165,10.98901099,4.1054,1.3739,1.3198,,7.0999,3458.42,23.372,6.7634,0.905551028,71.0272,3.51,108,1196.1,0.3039,4.1855,36.5169,19.3217,1.582528881,9.0895,0.3845,3.356,51.689,3.9145,3.64,64.2237,3.75,1.3739,14.8519,9.821,0.99745,30.426,6.757,3.6725,0.7960199,1,37.13
15-Oct-19,120.0029,1.476450613,10.90512541,4.1482,1.3691,1.3211,712.04,7.0785,3431.46,23.458,6.7865,0.908512765,71.3186,3.513,108.33,1183.7,0.3037,4.189,36.4447,19.252,1.586546089,9.1445,0.3845,3.367,51.506,3.8952,3.64,64.2548,3.75,1.3691,14.8612,9.8187,0.9973,30.42,6.7732,3.6725,0.790701352,1,37.324
16-Oct-19,119.9926,1.485222041,10.97694841,4.1708,1.372,1.3201,715.48,7.099,3451.33,23.365,6.7766,0.907029478,71.5051,3.536,108.68,1184.1,0.3037,4.1935,36.4679,19.2135,1.591343094,9.2032,0.3845,3.365,51.588,3.8934,3.64,64.3455,3.75,1.372,14.94295,9.8015,0.99805,30.418,6.7835,3.6725,0.783852636,1,37.34
