Date,Algerian dinar   (DZD)                     ,Australian dollar   (AUD)                     ,Botswana pula   (BWP)                     ,Brazilian real   (BRL)                     ,Brunei dollar   (BND)                     ,Canadian dollar   (CAD)                     ,Chilean peso   (CLP)                     ,Chinese yuan   (CNY)                     ,Colombian peso   (COP)                     ,Czech koruna   (CZK)                     ,Danish krone   (DKK)                     ,Euro   (EUR)                     ,Indian rupee   (INR)                     ,Israeli New Shekel   (ILS)                     ,Japanese yen   (JPY)                     ,Korean won   (KRW)                     ,Kuwaiti dinar   (KWD)                     ,Malaysian ringgit   (MYR)                     ,Mauritian rupee   (MUR)                     ,Mexican peso   (MXN)                     ,New Zealand dollar   (NZD)                     ,Norwegian krone   (NOK)                     ,Omani rial   (OMR)                     ,Peruvian sol   (PEN)                     ,Philippine peso   (PHP)                     ,Polish zloty   (PLN)                     ,Qatari riyal   (QAR)                     ,Russian ruble   (RUB)                     ,Saudi Arabian riyal   (SAR)                     ,Singapore dollar   (SGD)                     ,South African rand   (ZAR)                     ,Swedish krona   (SEK)                     ,Swiss franc   (CHF)                     ,Thai baht   (THB)                     ,Trinidadian dollar   (TTD)                     ,U.A.E. dirham   (AED)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     ,Uruguayan peso   (UYU)                     
01-Apr-21,134.0155,1.325732467,11.04972376,5.6843,1.3464,1.2565,721.82,6.5714,,22.206,,0.851353652,73.5047,3.333,110.79,1132.6,0.3023,4.1465,40.6556,,1.432459533,,0.3845,,,3.9428,3.64,75.8073,,1.3464,14.6433,8.7436,0.94605,31.281,6.7429,3.6725,0.725952813,1,
02-Apr-21,133.2971,,,,,,,6.5614,,,,,,,110.63,1129.3,,4.1375,,,,,,,,,,76.0734,,,,,,31.246,,,0.72345813,1,
05-Apr-21,133.3633,,,5.6573,1.3456,1.2525,717.12,,3678.62,,,,73.433,3.32,110.58,1127.5,0.3022,4.141,40.7199,20.2483,,,0.3845,3.714,48.544,,3.64,76.6052,3.75,1.3456,,,,31.368,,3.6725,,1,
06-Apr-21,132.8624,1.307531381,10.95290252,5.6257,,1.2559,717.9,6.5472,3645.79,22.054,6.2969,0.846596681,73.3141,3.309,110.28,1127.8,,4.1325,40.7211,20.1612,1.416631251,8.531,0.3845,3.652,48.556,3.8973,3.64,76.3802,3.75,,14.52255,8.7072,0.93865,,6.7245,3.6725,0.72301352,1,44.247
07-Apr-21,132.6163,1.305483029,10.92896175,5.5858,1.3385,1.2617,718.17,6.5418,3645.14,21.813,6.2576,0.841467519,74.1172,3.299,109.77,1122.9,0.3018,4.128,40.666,20.1765,1.416631251,8.4597,0.3845,,48.574,3.8611,3.64,77.773,3.75,1.3385,14.5192,8.6242,0.9291,31.315,6.7268,3.6725,0.723798494,1,44.027
08-Apr-21,132.5504,1.309243257,10.94091904,5.5811,1.3407,1.2579,714.21,6.5485,3639.62,21.796,6.2644,0.842247115,74.37,3.286,109.83,1116.4,0.3018,4.1385,,20.089,1.426330053,8.4882,0.3845,3.593,48.576,3.8365,3.64,77.1011,3.75,1.3407,14.534,8.6011,0.92865,31.445,,3.6725,0.727722592,1,43.944
09-Apr-21,132.5203,1.313370108,10.96491228,5.6439,1.3397,,708.09,6.5581,3634.07,21.821,6.2561,0.841184388,74.8899,3.284,109.28,1118.5,,4.1355,40.636,20.163,1.418238548,8.5069,,3.614,,3.8208,,77.1657,,1.3397,14.534,8.5574,0.9259,31.444,,,0.729075532,1,44.093
12-Apr-21,132.5804,1.314924392,10.97694841,5.6576,1.3421,1.2553,711.23,6.5539,3650.23,21.86,6.2474,0.840053763,74.8525,3.291,109.73,1117.2,0.3018,4.137,40.6238,20.095,1.424704374,8.4795,0.3845,3.646,48.579,3.8144,3.64,77.5104,3.75,1.3421,14.60675,8.5697,0.92345,31.547,6.7704,,0.726612171,1,44.187
13-Apr-21,132.4843,1.315097317,10.95290252,5.7058,,1.2554,709.51,6.5494,3653.57,21.871,6.252,0.840618695,,3.304,109.56,1124.3,0.3017,4.134,,20.0735,1.425923285,8.547,0.3845,3.62,48.564,3.8342,3.64,77.2535,3.75,1.3427,14.63215,8.5749,0.92535,,6.7782,3.6725,0.728146503,1,44.273
14-Apr-21,132.4291,1.303441084,10.89324619,5.693,1.3376,1.2533,708.71,6.538,3666.17,21.677,6.2163,0.835840856,,3.287,108.82,1126.1,0.30145,4.1295,40.5417,20.0583,1.417434444,8.4207,0.3845,3.626,,3.8065,3.64,75.6826,,1.3376,14.4742,8.4885,0.92215,,6.7789,3.6725,0.726849833,1,44.13
15-Apr-21,132.4141,1.296008294,10.88139282,5.6228,1.3374,1.253,707.25,6.533,3665.49,21.669,6.2132,0.835421888,75.1699,,108.88,1119.9,0.30145,4.128,40.5643,19.927,1.40016802,8.3904,0.3845,3.62,48.5,3.8014,3.64,76.9808,3.75,1.3374,14.2765,8.4473,0.9237,,6.7631,3.6725,0.726532985,1,44.086
16-Apr-21,132.4021,1.291155584,10.82251082,5.6322,1.3356,1.2503,701.98,6.5203,3620.4,21.633,6.2046,0.834306691,74.5607,3.281,108.85,1117.6,,4.127,40.6486,19.9158,1.396453009,8.3581,,3.624,48.479,3.7978,,75.5535,,1.3356,,8.443,0.91885,31.271,6.7658,,0.725215752,1,44.281
19-Apr-21,132.3402,1.292323598,10.82251082,5.5744,1.3331,1.2519,701.55,6.507,3595.57,21.52,6.179,0.830909846,74.8847,3.265,108.63,1117.9,0.30145,4.1295,40.692,19.8145,1.401738155,8.2869,0.3845,3.668,48.393,3.7816,3.64,76.2491,3.75,1.3331,14.24165,8.4303,0.91325,31.243,6.7465,3.6725,0.71841661,1,
20-Apr-21,132.2792,1.281558375,10.78748652,5.526,1.3265,1.2572,700.96,6.4948,3606.42,21.5,6.1709,0.829806655,74.7296,3.252,108.19,1118.2,0.3011,4.116,40.6364,19.8877,1.388696014,8.2952,0.3845,3.68,48.399,3.7737,3.64,76.0155,3.75,1.3265,14.24545,8.3722,0.91535,31.22,6.7628,3.6725,0.715768377,1,44.184
21-Apr-21,132.7598,1.29617628,10.82251082,,1.3293,1.2523,697.19,6.4959,3636.26,21.563,6.1934,0.832847506,,3.256,108.07,1113.4,0.3011,4.116,40.6159,19.874,1.393728223,8.3637,0.3845,3.697,48.302,3.795,3.64,76.8198,3.75,1.3293,14.28615,8.4455,0.918,31.312,6.7569,3.6725,0.71764326,1,44.18
22-Apr-21,132.9503,1.291155584,10.81081081,5.4964,1.3275,1.25,696.8,6.4866,3639.12,21.469,6.1735,0.830151087,74.9404,3.262,108.03,1117.4,0.3011,4.11,40.6088,19.8865,1.387154945,8.3409,0.3845,3.753,,3.7885,3.64,76.4217,3.75,1.3275,14.2698,8.3988,0.9151,31.324,,3.6725,0.71942446,1,44.081
23-Apr-21,133.5662,1.293159188,10.83423619,5.4781,1.3292,1.2489,705.41,6.4945,3630.81,21.421,6.1629,0.82877507,74.9144,3.255,107.9,1116.3,,4.1115,40.6284,19.8695,1.39431121,8.3234,,3.769,48.402,3.7855,,75.0893,,1.3292,14.26345,8.4066,0.915,31.403,6.7662,,0.71999424,1,44.061
